Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
17/05/2017;2017;Morella;Molí Adel;Negligencia;0;0.25; <1 ;743265;4499587;40.6113232;-0.124497192
18/05/2017;2017;Altura;Los Albares;Rayo;0.01;0; <1 ;709220;4415040;39.85962302;-0.554096041
27/05/2017;2017;Alcora (l');El Bustal;Negligencia;0;3;3;741429;4440858;40.083409;-0.168378435
01/06/2017;2017;Cortes de Arenoso;Mateva;Rayo;0;0.001; <1 ;707891;4446165;40.14012574;-0.55966015
04/06/2017;2017;Villahermosa del Río;Masía Calarizo;Rayo;0;0; <1 ;714192;4455043;40.21845321;-0.482808784
20/06/2017;2017;Pina de Montalgrao;Corral de Esteban;Rayo;0.01;0; <1 ;700013;4433455;40.02762047;-0.6559912
21/06/2017;2017;Puebla de Arenoso;Pijer;Rayo;0;0; <1 ;702974;4442654;40.10972206;-0.618434676
29/06/2017;2017;Vall d'Uixó (la);Almelerar;Intencionado;0;0.75; <1 ;740220;4410897;39.81413532;-0.193590386
15/07/2017;2017;Vilafranca/Villafranca del Cid;Mas de Tosca de Dalt;Rayo;0;0.13; <1 ;729566;4480983;40.44782503;-0.292998095
21/07/2017;2017;Torralba del Pinar;Los Morrones de Gil;Rayo;0;0.015; <1 ;718786;4430569;39.99698685;-0.437156415
30/07/2017;2017;Sot de Ferrer;El Juncar;Rayo;0;0.004; <1 ;722661;4407564;39.78891477;-0.399650426
04/08/2017;2017;Peníscola/Peñíscola;Font Nova;Negligencia;1.2;0;1.2;785649;4470497;40.33615309;0.36264745
15/08/2017;2017;Zorita del Maestrazgo;Cerro Millán;Rayo;0;0.2; <1 ;736808;4517951;40.77843531;-0.193803974
16/08/2017;2017;Benicàssim/Benicasim;Barranc de les Agülles;Intencionado;0.05;0; <1 ;760761;4439915;40.06916356;0.057685108
31/08/2017;2017;Llucena/Lucena del Cid;Mas de Clapisa;Rayo;0;0; <1 ;729209;4452607;40.19255948;-0.307375105
10/09/2017;2017;Sierra Engarcerán;Canal;Intencionado;0;4.03;4.03;754648;4441648;40.08662513;-0.013221121
01/12/2017;2017;Alcora (l');Pantano;Negligencia;0;0.005; <1 ;741956;4436063;40.04010932;-0.163995624
08/12/2017;2017;Benlloc;Cuartico;Negligencia;1;0;1;765631;4453461;40.189506;0.120284578
18/12/2017;2017;Vall d'Uixó (la);Barranc de Sant Josep;Negligencia;0.5;0; <1 ;737569;4410636;39.81253115;-0.224621269
17/01/2018;2018;Pobla de Benifassà (la);El Salt;Rayo;0;0.02; <1 ;769084;4511986;40.71485339;0.185575952
24/02/2018;2018;Jérica;Molino del Tintorero;Negligencia;0.1;0; <1 ;707888;4422859;39.93033558;-0.567165848
18/03/2018;2018;Montán;Hoya Higuera;Negligencia;53.93;0;53.93;707316;4432386;40.01623537;-0.570818105
17/04/2018;2018;Torralba del Pinar;Losas;Negligencia;0.25;0.25; <1 ;718786;4429729;39.98942619;-0.437439177
25/04/2018;2018;Eslida;Horta Seca;Negligencia;0.013;0; <1 ;731760;4418501;39.88491861;-0.289627819
27/04/2018;2018;Alcora (l');Torremundo;Rayo;0.03;0; <1 ;733873;4440202;40.07963716;-0.257139264
01/05/2018;2018;Alcora (l');Solana;Negligencia;0.02;0; <1 ;732522;4438823;40.06760085;-0.273462092
