Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
1706;Tenerife;Canary Is;Spain;28.271;-16.641;3715;Stratovolcano;Historical;
1707;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;
1707;Fuji;Honshu-Japan;Japan;35.35;138.73;3776;Stratovolcano;Historical;
1711;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;3000
1712;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1714;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;
1716;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1716;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;
1716;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1716;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;1
1717;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;1
1717;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1717;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1718;Pico;Azores;Portugal;38.47;-28.4;2351;Stratovolcano;Historical;2
1721;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
1721;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;15
1726;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1727;Oraefajokull;Iceland-Se;Iceland;64;-16.65;2119;Stratovolcano;Historical;3
1729;Bardarbunga;Iceland-Ne;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;
1729;Krafla;Iceland-Ne;Iceland;65.73;-16.78;650;Caldera;Historical;
1730;Lanzarote;Canary Is;Spain;29.03;-13.63;670;Fissure Vent;Historical;
1730;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;
1730;Tseax River Cone;Canada;Canada;55.12;-128.9;609;Pyroclastic Cone;Radiocarbon;
1737;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;2
1741;Oshima-Oshima;Hokkaido-Japan;Japan;41.5;139.37;737;Stratovolcano;Historical;1475
1742;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;
1742;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;
1749;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;
1753;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;
1754;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;12
1755;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;2
1757;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure Vent;Historical;1053
