Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
1996;Popocatepetl;Mexico;Mexico;19.023;-98.622;5426;Stratovolcano;Historical;5
1996;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;1
1996;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;
1997;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;3
1997;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;22
1997;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;2
1997;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;
1998;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
1999;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;
1999;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1999;Shiveluch;Kamchatka;Russia;56.653;161.36;3283;Stratovolcano;Historical;
2000;Miyake-Jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;Historical;1
2000;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;2
2001;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;1
2001;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
2002;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;
2002;Nyiragongo;Africa-C;Congo, Drc;-1.52;29.25;3470;Stratovolcano;Historical;100
2002;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
2002;Stromboli;Italy;Italy;38.789;15.213;926;Stratovolcano;Historical;
2003;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;
2004;Tengger Caldera;Java;Indonesia;-7.942;112.95;2329;Stratovolcano;Historical;
2005;Karthala;Indian O-W;Comoros;-11.75;43.38;2361;Shield Volcano;Historical;
2006;Raoul Island;Kermadec Is;New Zealand;-29.27;-177.92;516;Stratovolcano;Historical;1
2006;Soufriere Hills;W Indies;Montserrat;16.72;-62.18;915;Stratovolcano;Historical;
2006;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;Historical;
2006;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;2
2006;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;1266
2006;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;1
2006;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;6
2007;Huila;Colombia;Colombia;2.92;-76.05;5365;Stratovolcano;Historical;
2007;Tair, Jebel At;Red Sea;Yemen;15.7;41.742;244;Stratovolcano;Historical;7
2008;Chaiten;Chile-S;Chile;-42.833;-72.646;962;Caldera;Holocene;1
2008;Kasatochi;Aleutian Is;United States;52.18;-175.5;314;Stratovolcano;Historical;
2008;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;2
2008;Huila;Colombia;Colombia;2.92;-76.05;5365;Stratovolcano;Historical;10
2009;Redoubt;Alaska-Sw;United States;60.48;-152.75;3108;Stratovolcano;Historical;
2009;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
2010;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;
2010;Eyjafjallajokull;Iceland-S;Iceland;63.63;-19.62;1666;Stratovolcano;Historical;2
2010;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex Volcano;Historical;1
2010;Sarigan;Mariana Is-C Pacific;United States;16.708;145.78;538;Stratovolcano;Holocene;
2010;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;4
2010;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;2
2010;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;324
2010;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;
2010;Tengger Caldera;Java;Indonesia;-7.942;112.95;2329;Stratovolcano;Historical;
2011;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;1
2011;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield Volcano;Historical;
2011;Bulusan;Luzon-Philippines;Philippines;12.77;124.05;1565;Stratovolcano;Historical;1
2011;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48;1784;Stratovolcano;Historical;
2011;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;
2011;Puyehue;Chile-C;Chile;-40.59;-72.117;2236;Stratovolcano;Holocene;
2011;Nabro;Africa-Ne;Eritrea;13.37;41.7;2218;Stratovolcano;Holocene;7
2011;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial Volcano;Historical;
2011;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;Historical;1
2011;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;4
2012;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
2012;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
2012;Tolbachik;Kamchatka;Russia;55.83;160.33;3682;Shield Volcano;Historical;
2013;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;1
2013;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;
2013;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;5
2013;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708;875;Stratovolcano;Historical;5
2013;Ubinas;Peru;Peru;-16.355;-70.903;5672;Stratovolcano;Historical;
2013;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
2013;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;
2014;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;17
2014;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;7
2014;On-Take;Honshu-Japan;Japan;35.9;137.48;3063;Complex Volcano;Historical;55
2014;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
2014;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;Historical;
