"date","RH3000","RH4000"
2023-03-15 15:55:00,29.915,23.195
2023-03-15 16:00:00,30.311,23.087
2023-03-15 16:05:00,30.495,23.314
2023-03-15 16:10:00,31.073,23.577
2023-03-15 16:15:00,31.464,23.719
2023-03-15 16:20:00,31.774,23.825
2023-03-15 16:25:00,32.461,24.193
2023-03-15 16:30:00,32.8,24.304
2023-03-15 16:35:00,33.137,24.365
2023-03-15 16:40:00,33.608,24.468
2023-03-15 16:45:00,33.862,24.526
2023-03-15 16:50:00,33.971,24.519
2023-03-15 16:55:00,34.224,24.585
2023-03-15 17:00:00,34.439,24.688
2023-03-15 17:05:00,34.455,24.578
2023-03-15 17:10:00,33.833,23.8
2023-03-15 17:15:00,33.349,23.657
2023-03-15 17:20:00,33.482,23.9
2023-03-15 17:25:00,34.118,23.999
2023-03-15 17:30:00,34.516,24.304
2023-03-15 17:35:00,34.843,24.482
2023-03-15 17:40:00,35.21,24.748
2023-03-15 17:45:00,35.42,24.455
2023-03-15 17:50:00,36.149,25.149
2023-03-15 17:55:00,36.651,25.411
2023-03-15 18:00:00,36.665,25.351
2023-03-15 18:05:00,36.567,24.918
2023-03-15 18:10:00,36.304,24.794
2023-03-15 18:15:00,36.429,24.947
2023-03-15 18:20:00,36.103,24.664
2023-03-15 18:25:00,36.032,24.563
2023-03-15 18:30:00,35.803,24.141
2023-03-15 18:35:00,35.889,24.34
2023-03-15 18:40:00,35.795,24.318
2023-03-15 18:45:00,35.785,24.301
2023-03-15 18:50:00,36.134,24.808
2023-03-15 18:55:00,36.761,24.744
2023-03-15 19:00:00,37.122,24.968
2023-03-15 19:05:00,37.199,25.067
2023-03-15 19:10:00,37.379,25.231
2023-03-15 19:15:00,37.876,25.592
2023-03-15 19:20:00,38.315,25.832
2023-03-15 19:25:00,38.608,25.592
2023-03-15 19:30:00,38.617,25.482
2023-03-15 19:35:00,38.796,25.773
2023-03-15 19:40:00,39.267,26.068
2023-03-15 19:45:00,39.602,26.279
2023-03-15 19:50:00,39.92,26.38
2023-03-15 19:55:00,40.046,26.419
2023-03-15 20:00:00,40.159,26.37
2023-03-15 20:05:00,40.117,25.938
2023-03-15 20:10:00,40.28,26.178
2023-03-15 20:15:00,40.445,26.277
2023-03-15 20:20:00,40.526,26.338
2023-03-15 20:25:00,40.593,26.341
2023-03-15 20:30:00,40.614,26.359
2023-03-15 20:35:00,40.699,26.402
2023-03-15 20:40:00,40.725,26.361
2023-03-15 20:45:00,40.668,25.887
2023-03-15 20:50:00,40.57,25.896
2023-03-15 20:55:00,40.575,26.017
2023-03-15 21:00:00,40.646,26.057
2023-03-15 21:05:00,40.677,26.057
2023-03-15 21:10:00,40.699,26.098
2023-03-15 21:15:00,40.741,26.1
2023-03-15 21:20:00,40.647,26.038
2023-03-15 21:25:00,40.471,25.898
2023-03-15 21:30:00,40.352,25.624
2023-03-15 21:35:00,40.262,25.392
2023-03-15 21:40:00,40.015,25.39
2023-03-15 21:45:00,39.978,25.451
2023-03-15 21:50:00,40.113,25.553
2023-03-15 21:55:00,40.159,25.596
2023-03-15 22:00:00,40.158,25.592
2023-03-15 22:05:00,40.044,25.532
2023-03-15 22:10:00,39.849,25.394
2023-03-15 22:15:00,39.617,25.27
2023-03-15 22:20:00,39.328,24.961
2023-03-15 22:25:00,39.11,24.625
2023-03-15 22:30:00,39.035,24.686
2023-03-15 22:35:00,38.958,24.767
2023-03-15 22:40:00,38.847,24.735
2023-03-15 22:45:00,38.62,24.624
2023-03-15 22:50:00,38.274,24.404
2023-03-15 22:55:00,37.883,24.18
2023-03-15 23:00:00,37.506,23.999
2023-03-15 23:05:00,37.264,23.878
2023-03-15 23:10:00,37.021,23.783
2023-03-15 23:15:00,36.773,23.657
2023-03-15 23:20:00,36.541,23.534
2023-03-15 23:25:00,36.343,23.456
2023-03-15 23:30:00,36.169,23.256
2023-03-15 23:35:00,36.005,23.011
2023-03-15 23:40:00,35.899,23.069
2023-03-15 23:45:00,35.772,23.091
2023-03-15 23:50:00,35.624,23.052
2023-03-15 23:55:00,35.494,23.011
